anomaly_id,timestamp,line_id,machine_id,symptom,root_cause,solution_applied,resolution_time_minutes,impact_oee,recurrence_count,priority,status
1,2024-02-21 23:20:26.637849,L1,M1-3,Baisse soudaine de performance de 15%,Usure des courroies de transmission,Remplacement des courroies et réalignement,466,-15,3,Medium,Resolved
2,2024-02-28 23:20:26.637849,L3,M3-2,Qualité d'impression dégradée,Viscosité d'encre non conforme,Ajustement de la viscosité et nettoyage des buses,338,-6,2,High,Resolved
3,2024-03-06 23:20:26.637849,L1,M1-3,Vibrations anormales détectées,Roulements usés sur l'axe principal,Remplacement des roulements et équilibrage,60,-10,4,High,Resolved
4,2024-03-13 23:20:26.637849,L2,M2-4,Baisse soudaine de performance de 15%,Usure des courroies de transmission,Remplacement des courroies et réalignement,444,-15,2,Medium,Resolved
5,2024-03-20 23:20:26.637849,L3,M3-2,Baisse soudaine de performance de 15%,Usure des courroies de transmission,Remplacement des courroies et réalignement,88,-15,3,Critical,Resolved
6,2024-03-27 23:20:26.637849,L3,M3-2,Vibrations anormales détectées,Roulements usés sur l'axe principal,Remplacement des roulements et équilibrage,310,-10,3,Medium,Resolved
7,2024-04-03 23:20:26.637849,L1,M1-1,Arrêts micro-répétitifs toutes les 10 minutes,Capteur de position défectueux,Remplacement du capteur et recalibration,432,-8,3,Low,Resolved
8,2024-04-10 23:20:26.637849,L3,M3-1,Bourrage fréquent au niveau de l'alimentation,Tension d'alimentation incorrecte,Ajustement de la tension et nettoyage des rouleaux,168,-12,2,Critical,Resolved
9,2024-04-17 23:20:26.637849,L1,M1-3,Arrêts micro-répétitifs toutes les 10 minutes,Capteur de position défectueux,Remplacement du capteur et recalibration,157,-8,2,Medium,Resolved
10,2024-04-24 23:20:26.637849,L3,M3-1,Vibrations anormales détectées,Roulements usés sur l'axe principal,Remplacement des roulements et équilibrage,73,-10,4,Medium,Resolved
11,2024-05-01 23:20:26.637849,L2,M2-2,Arrêts micro-répétitifs toutes les 10 minutes,Capteur de position défectueux,Remplacement du capteur et recalibration,234,-8,2,Medium,Resolved
12,2024-05-08 23:20:26.637849,L2,M2-2,Augmentation du taux de rebut à 7%,Dérive de la température de séchage,Recalibration du système de contrôle thermique,37,-5,2,Low,Resolved
13,2024-05-15 23:20:26.637849,L2,M2-4,Arrêts micro-répétitifs toutes les 10 minutes,Capteur de position défectueux,Remplacement du capteur et recalibration,358,-8,3,High,Resolved
14,2024-05-22 23:20:26.637849,L3,M3-2,Vibrations anormales détectées,Roulements usés sur l'axe principal,Remplacement des roulements et équilibrage,144,-10,3,High,Resolved
15,2024-05-29 23:20:26.637849,L3,M3-2,Baisse soudaine de performance de 15%,Usure des courroies de transmission,Remplacement des courroies et réalignement,385,-15,2,Low,Resolved
16,2024-06-05 23:20:26.637849,L2,M2-3,Baisse soudaine de performance de 15%,Usure des courroies de transmission,Remplacement des courroies et réalignement,109,-15,4,Critical,Resolved
17,2024-06-12 23:20:26.637849,L1,M1-2,Qualité d'impression dégradée,Viscosité d'encre non conforme,Ajustement de la viscosité et nettoyage des buses,425,-6,2,High,Resolved
